naam,naam_lang,code,type,land,uic_code,eva_code,lat,lng
Driebergen,Driebergen-Zeist,DB,KNOOPPUNT_STOPTREIN_STATION,NL,8400182,8400182,52.0652770996094,5.25861120223999
Duivendrt,Duivendrecht,DVD,KNOOPPUNT_STOPTREIN_STATION,NL,8400194,8400194,52.3233337402344,4.93638896942139
Ede-Wag,Ede-Wageningen,ED,KNOOPPUNT_INTERCITY_STATION,NL,8400200,8400200,52.0277786254883,5.67305564880371
Eindhoven,Eindhoven,EHV,MEGA_STATION,NL,8400206,8400206,51.4433326721191,5.48138904571533
Elst,Elst,EST,KNOOPPUNT_STOPTREIN_STATION,NL,8400207,8400207,51.9169425964355,5.85500001907349
Emmen,Emmen,EMN,SNELTREIN_STATION,NL,8400208,8400208,52.7900009155273,6.89944458007812
Enschede,Enschede,ES,KNOOPPUNT_INTERCITY_STATION,NL,8400212,8400212,52.2224998474121,6.8899998664856
Etten-Leur,Etten-Leur,ETN,INTERCITY_STATION,NL,8400218,8400218,51.5750007629395,4.63583326339722
Geldermlsn,Geldermalsen,GDM,KNOOPPUNT_STOPTREIN_STATION,NL,8400244,8400244,51.88301,5.27127
Geldrop,Geldrop,GP,KNOOPPUNT_STOPTREIN_STATION,NL,8400245,8400245,51.4197235107422,5.55055570602417
Gorinchem,Gorinchem,GR,KNOOPPUNT_STOPTREIN_STATION,NL,8400256,8400256,51.8338890075684,4.96833324432373
Gouda,Gouda,GD,KNOOPPUNT_INTERCITY_STATION,NL,8400258,8400258,52.0175018310547,4.70444440841675
Groningen,Groningen,GN,KNOOPPUNT_INTERCITY_STATION,NL,8400263,8400263,53.2105560302734,6.56472206115723
Dn Haag HS,Den Haag HS,GV,KNOOPPUNT_INTERCITY_STATION,NL,8400280,8400280,52.0697212219238,4.32250022888184
Den Haag C,Den Haag Centraal,GVC,MEGA_STATION,NL,8400282,8400282,52.0802764892578,4.32499980926514
Haarlem,Haarlem,HLM,KNOOPPUNT_INTERCITY_STATION,NL,8400285,8400285,52.3877792358398,4.63833332061768
Hardenberg,Hardenberg,HDB,SNELTREIN_STATION,NL,8400293,8400293,52.5727767944336,6.62861108779907
Harderwijk,Harderwijk,HD,KNOOPPUNT_STOPTREIN_STATION,NL,8400294,8400294,52.3375015258789,5.61972236633301
Heemstede,Heemstede-Aerdenhout,HAD,INTERCITY_STATION,NL,8400302,8400302,52.3591651916504,4.60666656494141
Heerenveen,Heerenveen,HR,INTERCITY_STATION,NL,8400305,8400305,52.9613876342773,5.91416645050049
Heerhugow,Heerhugowaard,HWD,KNOOPPUNT_STOPTREIN_STATION,NL,8400306,8400306,52.6697235107422,4.82277774810791
Heerlen,Heerlen,HRL,KNOOPPUNT_INTERCITY_STATION,NL,8400307,8400307,50.8908348083496,5.97499990463257
Den Helder,Den Helder,HDR,INTERCITY_STATION,NL,8400311,8400311,52.9552764892578,4.76111125946045
Helmond,Helmond,HM,KNOOPPUNT_INTERCITY_STATION,NL,8400313,8400313,51.4755554199219,5.66194438934326
Hengelo,Hengelo,HGL,KNOOPPUNT_INTERCITY_STATION,NL,8400316,8400316,52.2616653442383,6.79388904571533
Den Bosch,'s-Hertogenbosch,HT,KNOOPPUNT_INTERCITY_STATION,NL,8400319,8400319,51.69048,5.29362
Hilversum,Hilversum,HVS,KNOOPPUNT_INTERCITY_STATION,NL,8400322,8400322,52.2258338928223,5.18194437026978
Hoogezand,Hoogezand-Sappemeer,HGZ,KNOOPPUNT_STOPTREIN_STATION,NL,8400331,8400331,53.1598181316756,6.77075386047363
Hoorn,Hoorn,HN,KNOOPPUNT_INTERCITY_STATION,NL,8400337,8400337,52.6447219848633,5.05555534362793
Houten,Houten,HTN,KNOOPPUNT_STOPTREIN_STATION,NL,8400340,8400340,52.03402,5.16821
Kerkrade C,Kerkrade Centrum,KRD,KNOOPPUNT_STOPTREIN_STATION,NL,8400355,8400355,50.8616676330566,6.05749988555908
Zaanse S.,Zaandijk Zaanse Schans,ZZS,KNOOPPUNT_STOPTREIN_STATION,NL,8400364,8400364,52.469165802002,4.80499982833862
Laan v NOI,Den Haag Laan v NOI,LAA,KNOOPPUNT_STOPTREIN_STATION,NL,8400380,8400380,52.0786094665527,4.34277772903442
Lage Zwalu,Lage Zwaluwe,ZLW,KNOOPPUNT_STOPTREIN_STATION,NL,8400382,8400382,51.6911125183105,4.66305541992188
Leeuwarden,Leeuwarden,LW,KNOOPPUNT_INTERCITY_STATION,NL,8400387,8400387,53.1958351135254,5.79222202301025
Leiden C,Leiden Centraal,LEDN,KNOOPPUNT_INTERCITY_STATION,NL,8400390,8400390,52.1661109924316,4.48166656494141
Lelystad C,Lelystad Centrum,LLS,KNOOPPUNT_INTERCITY_STATION,NL,8400394,8400394,52.5077781677246,5.47277784347534
Emmen Z,Emmen Zuid,EMNZ,SNELTREIN_STATION,NL,8400407,8400093,52.7488663746914,6.87478065490722
Maarn,Maarn,MRN,KNOOPPUNT_STOPTREIN_STATION,NL,8400417,8400417,52.0641670227051,5.36999988555908
Maastricht,Maastricht,MT,KNOOPPUNT_INTERCITY_STATION,NL,8400424,8400424,50.8502769470215,5.70555543899536
Randwyck,Maastricht Randwyck,MTR,KNOOPPUNT_STOPTREIN_STATION,NL,8400426,8400426,50.8386116027832,5.71722221374512
Mariënberg,Mariënberg,MRB,KNOOPPUNT_SNELTREIN_STATION,NL,8400428,8400428,52.5094451904297,6.57527780532837
Meerssen,Meerssen,MES,SNELTREIN_STATION,NL,8400434,8400434,50.882879392551,5.75099945068359
Meppel,Meppel,MP,KNOOPPUNT_STOPTREIN_STATION,NL,8400435,8400435,52.6908340454102,6.19750022888184
Naarden-Bu,Naarden-Bussum,NDB,KNOOPPUNT_STOPTREIN_STATION,NL,8400452,8400452,52.2802772521973,5.15694427490234
Nw A'dam,Nieuw Amsterdam,NA,SNELTREIN_STATION,NL,8400454,8400454,52.7186126708984,6.84861087799072
Nweschans,Bad Nieuweschans,NSCH,KNOOPPUNT_STOPTREIN_STATION,NL,8400457,8400457,53.1844,7.19937
Nijmegen,Nijmegen,NM,KNOOPPUNT_INTERCITY_STATION,NL,8400470,8400470,51.8436126708984,5.85222244262695
Ommen,Ommen,OMN,KNOOPPUNT_SNELTREIN_STATION,NL,8400487,8400487,52.5094451904297,6.41583347320557
Oss,Oss,O,KNOOPPUNT_INTERCITY_STATION,NL,8400495,8400495,51.7655563354492,5.53222227096558
Alexander,Rotterdam Alexander,RTA,INTERCITY_STATION,NL,8400507,8400507,51.9519462585449,4.55361127853394
Purmerend,Purmerend,PMR,KNOOPPUNT_STOPTREIN_STATION,NL,8400508,8400508,52.5030555725098,4.95361089706421
Rhenen,Rhenen,RHN,KNOOPPUNT_STOPTREIN_STATION,NL,8400517,8400517,51.958610534668,5.57833337783814
Roermond,Roermond,RM,KNOOPPUNT_INTERCITY_STATION,NL,8400523,8400523,51.1930541992188,5.9941668510437
Roosendaal,Roosendaal,RSD,KNOOPPUNT_INTERCITY_STATION,NL,8400526,8400526,51.5402793884277,4.45833349227905
Rotterdam,Rotterdam Centraal,RTD,MEGA_STATION,NL,8400530,8400530,51.9249992370605,4.46888875961304
Landgraaf,Landgraaf,LG,KNOOPPUNT_STOPTREIN_STATION,NL,8400548,8400548,50.8963890075684,6.01916646957398
Schiphol,Schiphol Airport,SHL,MEGA_STATION,NL,8400561,8400561,52.3094444274902,4.76194429397583
Sittard,Sittard,STD,KNOOPPUNT_INTERCITY_STATION,NL,8400564,8400564,51.0016670227051,5.85861110687256
Sneek,Sneek,SK,KNOOPPUNT_STOPTREIN_STATION,NL,8400566,8400566,53.0328688,5.6523969
Soest,Soest,ST,KNOOPPUNT_STOPTREIN_STATION,NL,8400567,8400567,52.1733322143555,5.30999994277954
Steenwijk,Steenwijk,SWK,INTERCITY_STATION,NL,8400578,8400578,52.7915109924316,6.11455576324463
Tiel,Tiel,TL,KNOOPPUNT_STOPTREIN_STATION,NL,8400596,8400596,51.8894462585449,5.42222213745117
Tilburg,Tilburg,TB,KNOOPPUNT_INTERCITY_STATION,NL,8400597,8400597,51.5605545043945,5.08361101150513
VaartscheR,Utrecht Vaartsche Rijn,UTVR,KNOOPPUNT_STOPTREIN_STATION,NL,8400606,8400606,52.078889,5.121667
Uitgeest,Uitgeest,UTG,KNOOPPUNT_STOPTREIN_STATION,NL,8400615,8400615,52.5216674804687,4.70166683197022
Overvecht,Utrecht Overvecht,UTO,KNOOPPUNT_STOPTREIN_STATION,NL,8400620,8400620,52.1100006103516,5.12472200393677
Utrecht C,Utrecht Centraal,UT,MEGA_STATION,NL,8400621,8400621,52.0888900756836,5.11027765274048
Veenendl C,Veenendaal Centrum,VNDC,KNOOPPUNT_STOPTREIN_STATION,NL,8400627,8400627,52.0200004577637,5.54861116409302
Valkenburg,Valkenburg,VK,KNOOPPUNT_SNELTREIN_STATION,NL,8400632,8400632,50.8697204589844,5.83222198486328
Veendam,Veendam,VDM,KNOOPPUNT_STOPTREIN_STATION,NL,8400636,8400095,53.10324,6.88475
Venlo,Venlo,VL,KNOOPPUNT_INTERCITY_STATION,NL,8400644,8400644,51.3636093139648,6.17277765274048
Venray,Venray,VRY,KNOOPPUNT_STOPTREIN_STATION,NL,8400646,8400646,51.526568099007,6.01417779922485
Vlissingen,Vlissingen,VS,KNOOPPUNT_INTERCITY_STATION,NL,8400652,8400652,51.4458351135254,3.59527778625488
Weert,Weert,WT,INTERCITY_STATION,NL,8400684,8400684,51.2486114501953,5.70361089706421
Weesp,Weesp,WP,KNOOPPUNT_STOPTREIN_STATION,NL,8400685,8400685,52.3127784729004,5.04305553436279
Wierden,Wierden,WDN,KNOOPPUNT_STOPTREIN_STATION,NL,8400691,8400691,52.3613891601562,6.59166669845581
Winschoten,Winschoten,WS,KNOOPPUNT_STOPTREIN_STATION,NL,8400696,8400696,53.1392377,7.035101
Winterswk,Winterswijk,WW,KNOOPPUNT_STOPTREIN_STATION,NL,8400698,8400698,51.9677307,6.7155181
Woerden,Woerden,WD,KNOOPPUNT_STOPTREIN_STATION,NL,8400702,8400702,52.0849990844727,4.89361095428467
Zaandam,Zaandam,ZD,KNOOPPUNT_INTERCITY_STATION,NL,8400731,8400731,52.4388885498047,4.81361103057861
Zevenaar,Zevenaar,ZV,KNOOPPUNT_STOPTREIN_STATION,NL,8400735,8400735,51.9230537414551,6.07194423675537
Zoetermeer,Zoetermeer,ZTM,KNOOPPUNT_STOPTREIN_STATION,NL,8400741,8400741,52.0475006103516,4.47722244262695
Zuidbroek,Zuidbroek,ZB,KNOOPPUNT_STOPTREIN_STATION,NL,8400742,8400742,53.1596122800056,6.8679141998291
Zutphen,Zutphen,ZP,KNOOPPUNT_INTERCITY_STATION,NL,8400744,8400744,52.1452789306641,6.19416666030884
Zwolle,Zwolle,ZL,KNOOPPUNT_INTERCITY_STATION,NL,8400747,8400747,52.5047225952148,6.09194421768188
